state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage
AK,1,7,13,1,18,2,0,21,1315,21,935,21,19,21,5,21,0,21,1,21,2,21,91,21,1,21,1,21,16,21,14,21,3,21,1,21,122,21,0.711026615969582,21,935,1315,0.020320855614973,21,19,935,0.014448669201521,21,19,1315,0.008196721311475,21,1,122,0.745901639344262,21,91,122,05/03/2023 12:00:00 AM,,0,20,0,19,0,19,0,19,1,19,2,19,1,19,1,20,0,21,0,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,21,1,10,0,0,0,0,0,0,0,21,1,21,0,8,0,8,1,0,8,21,54,21,81,21,1,21,0,19,0,19,0,21,0,21,8,21,10,21
CO,0,25,62,1,64,22,5,85,10094,87,6746,87,149,85,31,87,40,87,1,85,4,85,761,87,20,85,18,87,146,85,104,87,3,85,1,85,1258,87,0.668317812561918,87,6746,10094,0.022375732091906,85,149,6659,0.014919395213778,85,149,9987,0.016326530612245,85,20,1225,0.604928457869634,87,761,1258,05/03/2023 12:00:00 AM,,2,86,0,79,5,79,1,79,1,79,6,80,7,80,9,80,0,87,1,87,1,80,4,80,3,80,3,80,11,80,10,80,7,80,0,87,1,36,204,853,95,0,0,0,0,87,0,87,0,32,0,32,4,0,32,87,466,85,691,84,0,85,1,78,0,78,0,85,0,85,81,85,102,85
GA,5,23,97,8,88,29,6,122,18408,125,13908,125,541,122,29,125,86,125,1,122,41,122,1590,125,60,122,25,125,487,122,178,125,54,122,7,122,2080,125,0.755541069100391,125,13908,18408,0.039419994170796,122,541,13724,0.029812090152642,122,541,18147,0.029571217348448,122,60,2029,0.764423076923077,125,1590,2080,05/03/2023 12:00:00 AM,,0,125,0,119,1,118,2,118,4,118,8,118,5,118,8,118,1,125,1,125,5,118,8,118,7,118,16,118,20,118,15,118,13,118,1,125,0,37,237,0,32,0,0,0,71,125,6,125,0,34,0,33,97,1,34,125,966,122,1410,122,0,122,0,115,1,115,0,122,1,122,284,122,389,122
SD,0,1,59,2,48,10,0,57,2021,60,1349,60,30,57,5,60,0,60,2,57,0,57,134,60,3,57,4,60,26,57,28,60,4,57,4,57,222,60,0.667491340920336,60,1349,2021,0.022796352583587,57,30,1316,0.015259409969481,57,30,1966,0.014018691588785,57,3,214,0.603603603603604,60,134,222,05/03/2023 12:00:00 AM,,0,60,0,46,0,46,0,46,1,46,3,46,0,46,1,46,0,60,0,60,0,46,0,46,0,46,0,45,0,46,0,45,0,46,0,60,0,1,157,0,66,0,0,0,0,60,0,60,0,2,0,2,3,0,2,60,50,57,103,57,2,57,0,43,0,43,0,57,0,57,2,57,10,57
MO,1,22,83,25,54,27,14,102,12424,105,10183,105,387,102,27,106,93,106,1,102,7,102,1228,106,62,102,29,106,372,102,168,106,15,102,8,102,1549,106,0.819623309723117,105,10183,12424,0.031199839486356,101,311,9968,0.025560943535794,101,311,12167,0.041499330655957,102,62,1494,0.792769528728212,106,1228,1549,05/03/2023 12:00:00 AM,,0,106,2,98,1,98,0,98,3,98,4,98,12,98,5,98,0,106,0,105,7,98,3,98,10,98,10,98,15,98,21,97,27,98,0,106,3,38,56,0,0,0,0,0,3,106,3,106,0,38,0,38,16,1,38,106,615,102,773,102,1,102,0,94,0,93,0,102,2,102,169,102,250,102
OR,0,14,41,4,36,15,2,53,6252,55,4820,55,182,53,16,55,48,55,1,53,4,53,454,55,29,53,15,55,177,53,102,55,5,53,1,53,625,55,0.770953294945617,55,4820,6252,0.038429054054054,53,182,4736,0.029753146967468,53,182,6117,0.048494983277592,53,29,598,0.7264,55,454,625,05/03/2023 12:00:00 AM,,0,54,0,52,0,52,1,52,0,52,3,53,5,52,7,52,0,51,1,55,3,52,1,52,1,52,8,52,11,52,10,52,13,52,0,51,0,29,1107,0,127,0,0,0,1,55,1,55,0,28,0,28,4,0,28,55,269,53,369,53,1,53,0,50,0,50,0,49,0,53,18,53,29,53
MS,4,22,75,13,76,12,0,99,7372,101,4765,101,75,99,8,101,13,101,0,99,4,99,498,100,10,99,6,100,67,99,52,101,8,99,0,99,644,100,0.64636462289745,101,4765,7372,0.015869657215404,99,75,4726,0.010264130286027,99,75,7307,0.014423076923077,98,9,624,0.773291925465838,100,498,644,05/03/2023 12:00:00 AM,,0,101,0,92,0,91,1,91,1,91,2,91,1,91,3,91,0,101,0,101,4,91,3,91,0,91,4,91,1,91,1,91,0,91,0,101,0,32,58,30,41,147,0,20,3,101,3,101,0,30,0,30,12,0,30,101,183,99,309,99,0,99,0,89,0,89,0,98,0,99,34,99,56,99
WY,0,0,28,2,19,7,0,26,1274,28,576,28,10,26,2,28,4,28,0,26,0,26,44,28,0,26,1,28,10,26,8,28,0,26,0,26,99,28,0.452119309262166,28,576,1274,0.017921146953405,26,10,558,0.008025682182986,26,10,1246,0,26,0,93,0.444444444444444,28,44,99,05/03/2023 12:00:00 AM,,0,28,0,28,0,28,0,28,0,28,0,28,1,28,1,28,0,28,0,28,0,28,0,28,0,28,2,28,2,28,0,28,0,28,0,28,0,20,14,,159,0,,0,0,28,0,28,0,2,0,20,1,0,2,28,4,26,19,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26
IL,3,32,119,7,111,36,9,149,24800,154,16820,154,378,149,65,154,69,154,1,149,13,149,1723,153,39,149,25,153,364,149,298,154,14,149,6,149,2721,153,0.678225806451613,154,16820,24800,0.022815065185901,149,378,16568,0.015453170352807,149,378,24461,0.014301844185171,148,38,2657,0.633223079750092,153,1723,2721,05/03/2023 12:00:00 AM,,0,151,1,140,2,140,0,140,5,140,10,140,21,141,26,140,0,144,1,152,1,140,5,140,10,142,8,141,14,141,17,141,12,141,1,144,1,46,374,632,107,9,0,0,1,154,3,154,0,31,0,31,10,0,32,154,832,149,1236,149,1,149,0,135,0,136,0,147,1,149,365,149,551,149
MD,12,11,22,14,23,8,0,44,7645,45,6206,45,216,44,13,45,86,45,0,44,4,44,656,45,26,44,7,45,205,44,52,45,11,44,0,44,960,45,0.811772400261609,45,6206,7645,0.035179153094463,44,216,6140,0.028578989150569,44,216,7558,0.02801724137931,44,26,928,0.683333333333333,45,656,960,05/03/2023 12:00:00 AM,,0,45,1,45,2,45,1,45,3,45,2,45,2,45,2,45,0,45,0,45,6,45,5,45,8,45,12,45,19,45,21,45,15,45,0,45,2,23,214,0,0,0,0,0,1,45,2,45,1,23,3,23,4,0,23,45,143,44,283,44,0,44,0,44,0,44,0,44,0,44,18,44,19,44
