State,Reported,Total,Percentage_reporting
AK,13,16,81.25
AL,95,97,97.94
AR,80,90,88.89
AS,1,1,100
AZ,71,79,89.87
CA,348,359,96.94
CO,88,91,96.7
CT,30,32,93.75
DC,8,10,80
DE,8,8,100
FL,198,210,94.29
GA,134,146,91.78
GU,1,2,50
HI,24,25,96
IA,114,117,97.44
ID,45,45,100
IL,168,180,93.33
IN,123,127,96.85
KS,123,137,89.78
KY,94,100,94
LA,138,149,92.62
MA,71,74,95.95
MD,45,50,90
ME,33,33,100
MI,142,145,97.93
MN,125,126,99.21
MO,110,116,94.83
MS,98,102,96.08
MT,57,60,95
NC,108,112,96.43
ND,43,45,95.56
NE,91,96,94.79
NH,26,26,100
NJ,72,76,94.74
NM,39,40,97.5
NV,42,47,89.36
NY,158,166,95.18
OH,180,184,97.83
OK,118,132,89.39
OR,57,60,95
PA,171,189,90.48
PR,45,60,75
RI,10,11,90.91
SC,61,66,92.42
SD,57,58,98.28
TN,102,115,88.7
TX,436,468,93.16
UT,49,52,94.23
VA,85,89,95.51
VI,2,2,100
VT,14,14,100
WA,91,92,98.91
WI,130,133,97.74
WV,50,51,98.04
WY,25,26,96.15
zCW,4847,5137,94.35468172084875
